"","Date","Primary.Type","Crime Frequency"
"1","January","ARSON",22
"2","January","ASSAULT",1454
"3","January","BATTERY",3511
"4","January","BURGLARY",797
"5","January","CONCEALED CARRY LICENSE VIOLATION",12
"6","January","CRIM SEXUAL ASSAULT",143
"7","January","CRIMINAL DAMAGE",1788
"8","January","CRIMINAL TRESPASS",561
"9","January","DECEPTIVE PRACTICE",1447
"10","January","GAMBLING",4
"11","January","HOMICIDE",22
"12","January","HUMAN TRAFFICKING",3
"13","January","INTERFERENCE WITH PUBLIC OFFICER",94
"14","January","INTIMIDATION",21
"15","January","KIDNAPPING",8
"16","January","LIQUOR LAW VIOLATION",21
"17","January","MOTOR VEHICLE THEFT",706
"18","January","NARCOTICS",1194
"19","January","NON-CRIMINAL",1
"20","January","OBSCENITY",3
"21","January","OFFENSE INVOLVING CHILDREN",168
"22","January","OTHER OFFENSE",1413
"23","January","PROSTITUTION",64
"24","January","PUBLIC PEACE VIOLATION",88
"25","January","ROBBERY",657
"26","January","SEX OFFENSE",86
"27","January","STALKING",19
"28","January","THEFT",4523
"29","January","WEAPONS VIOLATION",445
"30","February","ARSON",29
"31","February","ASSAULT",1418
"32","February","BATTERY",3342
"33","February","BURGLARY",669
"34","February","CONCEALED CARRY LICENSE VIOLATION",12
"35","February","CRIM SEXUAL ASSAULT",102
"36","February","CRIMINAL DAMAGE",1716
"37","February","CRIMINAL TRESPASS",496
"38","February","DECEPTIVE PRACTICE",1285
"39","February","GAMBLING",2
"40","February","HOMICIDE",25
"41","February","INTERFERENCE WITH PUBLIC OFFICER",110
"42","February","INTIMIDATION",10
"43","February","KIDNAPPING",14
"44","February","LIQUOR LAW VIOLATION",9
"45","February","MOTOR VEHICLE THEFT",654
"46","February","NARCOTICS",1128
"47","February","OBSCENITY",4
"48","February","OFFENSE INVOLVING CHILDREN",181
"49","February","OTHER OFFENSE",1387
"50","February","PROSTITUTION",37
"51","February","PUBLIC PEACE VIOLATION",109
"52","February","ROBBERY",497
"53","February","SEX OFFENSE",101
"54","February","STALKING",21
"55","February","THEFT",4368
"56","February","WEAPONS VIOLATION",375
"57","March","ARSON",27
"58","March","ASSAULT",1662
"59","March","BATTERY",4046
"60","March","BURGLARY",673
"61","March","CONCEALED CARRY LICENSE VIOLATION",14
"62","March","CRIM SEXUAL ASSAULT",126
"63","March","CRIMINAL DAMAGE",2022
"64","March","CRIMINAL TRESPASS",515
"65","March","DECEPTIVE PRACTICE",1424
"66","March","GAMBLING",5
"67","March","HOMICIDE",36
"68","March","HUMAN TRAFFICKING",1
"69","March","INTERFERENCE WITH PUBLIC OFFICER",100
"70","March","INTIMIDATION",10
"71","March","KIDNAPPING",18
"72","March","LIQUOR LAW VIOLATION",17
"73","March","MOTOR VEHICLE THEFT",717
"74","March","NARCOTICS",1286
"75","March","OBSCENITY",7
"76","March","OFFENSE INVOLVING CHILDREN",198
"77","March","OTHER OFFENSE",1428
"78","March","PROSTITUTION",47
"79","March","PUBLIC PEACE VIOLATION",139
"80","March","ROBBERY",507
"81","March","SEX OFFENSE",101
"82","March","STALKING",24
"83","March","THEFT",4452
"84","March","WEAPONS VIOLATION",496
"85","April","ARSON",32
"86","April","ASSAULT",1726
"87","April","BATTERY",3970
"88","April","BURGLARY",697
"89","April","CONCEALED CARRY LICENSE VIOLATION",20
"90","April","CRIM SEXUAL ASSAULT",119
"91","April","CRIMINAL DAMAGE",2275
"92","April","CRIMINAL TRESPASS",560
"93","April","DECEPTIVE PRACTICE",1425
"94","April","GAMBLING",3
"95","April","HOMICIDE",59
"96","April","HUMAN TRAFFICKING",2
"97","April","INTERFERENCE WITH PUBLIC OFFICER",110
"98","April","INTIMIDATION",18
"99","April","KIDNAPPING",13
"100","April","LIQUOR LAW VIOLATION",12
"101","April","MOTOR VEHICLE THEFT",767
"102","April","NARCOTICS",1107
"103","April","NON-CRIMINAL",1
"104","April","OBSCENITY",1
"105","April","OFFENSE INVOLVING CHILDREN",247
"106","April","OTHER NARCOTIC VIOLATION",1
"107","April","OTHER OFFENSE",1425
"108","April","PROSTITUTION",45
"109","April","PUBLIC PEACE VIOLATION",155
"110","April","ROBBERY",597
"111","April","SEX OFFENSE",79
"112","April","STALKING",10
"113","April","THEFT",4615
"114","April","WEAPONS VIOLATION",520
"115","May","ARSON",25
"116","May","ASSAULT",2035
"117","May","BATTERY",4738
"118","May","BURGLARY",805
"119","May","CONCEALED CARRY LICENSE VIOLATION",23
"120","May","CRIM SEXUAL ASSAULT",159
"121","May","CRIMINAL DAMAGE",2487
"122","May","CRIMINAL TRESPASS",643
"123","May","DECEPTIVE PRACTICE",1456
"124","May","GAMBLING",14
"125","May","HOMICIDE",51
"126","May","INTERFERENCE WITH PUBLIC OFFICER",164
"127","May","INTIMIDATION",12
"128","May","KIDNAPPING",21
"129","May","LIQUOR LAW VIOLATION",12
"130","May","MOTOR VEHICLE THEFT",757
"131","May","NARCOTICS",1087
"132","May","OBSCENITY",3
"133","May","OFFENSE INVOLVING CHILDREN",249
"134","May","OTHER NARCOTIC VIOLATION",2
"135","May","OTHER OFFENSE",1535
"136","May","PROSTITUTION",69
"137","May","PUBLIC INDECENCY",3
"138","May","PUBLIC PEACE VIOLATION",152
"139","May","ROBBERY",634
"140","May","SEX OFFENSE",123
"141","May","STALKING",16
"142","May","THEFT",5325
"143","May","WEAPONS VIOLATION",613
"144","June","ARSON",27
"145","June","ASSAULT",1989
"146","June","BATTERY",4725
"147","June","BURGLARY",764
"148","June","CONCEALED CARRY LICENSE VIOLATION",17
"149","June","CRIM SEXUAL ASSAULT",122
"150","June","CRIMINAL DAMAGE",2491
"151","June","CRIMINAL TRESPASS",576
"152","June","DECEPTIVE PRACTICE",1228
"153","June","GAMBLING",28
"154","June","HOMICIDE",51
"155","June","HUMAN TRAFFICKING",1
"156","June","INTERFERENCE WITH PUBLIC OFFICER",144
"157","June","INTIMIDATION",9
"158","June","KIDNAPPING",13
"159","June","LIQUOR LAW VIOLATION",16
"160","June","MOTOR VEHICLE THEFT",761
"161","June","NARCOTICS",1081
"162","June","OBSCENITY",7
"163","June","OFFENSE INVOLVING CHILDREN",175
"164","June","OTHER OFFENSE",1397
"165","June","PROSTITUTION",45
"166","June","PUBLIC PEACE VIOLATION",138
"167","June","ROBBERY",767
"168","June","SEX OFFENSE",105
"169","June","STALKING",22
"170","June","THEFT",5481
"171","June","WEAPONS VIOLATION",562
"172","July","ARSON",6
"173","July","ASSAULT",440
"174","July","BATTERY",1218
"175","July","BURGLARY",195
"176","July","CONCEALED CARRY LICENSE VIOLATION",7
"177","July","CRIM SEXUAL ASSAULT",43
"178","July","CRIMINAL DAMAGE",606
"179","July","CRIMINAL TRESPASS",118
"180","July","DECEPTIVE PRACTICE",233
"181","July","GAMBLING",1
"182","July","HOMICIDE",10
"183","July","INTERFERENCE WITH PUBLIC OFFICER",56
"184","July","INTIMIDATION",3
"185","July","KIDNAPPING",4
"186","July","LIQUOR LAW VIOLATION",6
"187","July","MOTOR VEHICLE THEFT",174
"188","July","NARCOTICS",280
"189","July","OBSCENITY",2
"190","July","OFFENSE INVOLVING CHILDREN",40
"191","July","OTHER OFFENSE",349
"192","July","PROSTITUTION",2
"193","July","PUBLIC PEACE VIOLATION",41
"194","July","ROBBERY",161
"195","July","SEX OFFENSE",25
"196","July","STALKING",4
"197","July","THEFT",1132
"198","July","WEAPONS VIOLATION",187
